subject_id,Second,Fz,Mx,My,CoPx,CoPy
7,47,486.82117336,27.40449713,12.92595837,-0.0265518,0.056292548000000000
7,48,486.87734627,27.38239798,13.01609169,-0.026733899000000000,0.056240932
7,49,486.84829056,27.35322367,12.90115026,-0.02649934,0.056184246
7,50,486.89007846,27.879591510000000,13.054518830000000,-0.026812048,0.057260371
7,51,486.8521603,26.167574930000000,11.77053103,-0.024176824,0.053748421
7,52,486.86003353,24.14999693,11.845057,-0.024329404,0.049603329
7,53,486.8831035,24.39838465,12.29743845,-0.025257505,0.050111373
7,54,486.80698721,26.16380946,12.102140650000000,-0.024860240000000000,0.053745644000000000
7,55,486.87919122,25.3822121,12.52367534,-0.025722343000000000,0.052132366
7,56,486.81462962,25.13708248,12.459745430000000,-0.025594439,0.051635789
7,57,486.80300082,25.715848000000000,12.24084026,-0.025145399000000000,0.052825819
7,58,486.88511545,26.34631391,12.789653550000000,-0.026268382,0.054111843
7,59,486.8637915381530,27.186131863453800,13.091747052208800,-0.026890070281124500,0.05583883333333330
8,0,701.65696205,51.82809678,2.9733260800000000,-0.004237451,0.073865814
8,1,701.6909304,51.31280197,3.13028144,-0.004461119,0.073126257
8,2,701.71516571,53.79669178,2.90965917,-0.0041465060000000000,0.076664969
8,3,701.7786814900000,51.85473828,3.29577795,-0.004696398,0.073890535
8,4,701.75354258,53.59094965,3.1245503000000000,-0.004452442000000000,0.07636727
8,5,701.64708407,52.40049757,3.08642463,-0.004398919,0.074681968
8,6,701.73157409,51.37433148,3.22340296,-0.004593493,0.07321078200000000
8,7,701.7022639300000,53.10125987,2.90026595,-0.004133217,0.075675009
8,8,701.73730754,53.35708803,3.0724842100000000,-0.004378390000000000,0.076035708
8,9,701.70027556,49.60691303,2.7274774,-0.003887028,0.07069534
8,10,701.6889201,50.286498290000000,2.64278017,-0.003766362,0.07166505400000000
8,11,701.72060363,54.05490436,2.38317584,-0.0033962310000000000,0.077032429
8,12,701.76938612,55.69335006,2.6129020600000000,-0.003723344,0.0793613
8,13,701.72251281,53.32954228,2.54783646,-0.00363087,0.075998339
8,14,701.69805885,48.599077380000000,2.40681662,-0.003430005,0.069259267
8,15,701.6909813,50.93345392,2.34154556,-0.003337026,0.07258659100000000
8,16,701.6726871,48.79564075,2.41584727,-0.00344299,0.06954191
8,17,701.6806815300000,49.78092346,1.91758054,-0.0027328780000000000,0.070945341
8,18,701.7042059200000,51.0644271,2.06595944,-0.002944264,0.072772121
8,19,701.74396228,52.648114810000000,1.44905763,-0.0020649480000000000,0.075024731
8,20,701.642809638,47.01514554,1.92124794,-0.002738235,0.06700698700000000
8,21,701.67791407,51.80761641,1.95003429,-0.00277916,0.07383400800000000
8,22,701.6779103,51.212465350000000,2.0519999000000000,-0.0029244370000000000,0.07298577300000000
8,23,701.7355573,50.87517529,2.13933514,-0.00304867,0.072499017
8,24,701.69923093,50.283545700000000,1.81347804,-0.002584469,0.071659709
8,25,701.68868303,47.545375740000000,1.98590555,-0.002830216,0.06775859
8,26,701.67995407,49.401227760000000,2.19870276,-0.003133486,0.070404178
